Book ID,Title,Author,Image URL,Book URL,Description,Age,Genres
21,Ամբարտակ խաղաղականի դեմ,Մարգրիտ Դյուրաս,https://zangakbookstore.am/media/products/300x0/b566a95aa98db1fa9d3afff0d20fffd7.jpg,https://zangakbookstore.am/ambartak-khakhakhakani-dem,,16.0,Unknown
22,Մեղք,Նորետա Անդրեասյան - Թոմաս,https://zangakbookstore.am/media/products/300x0/0a846d7e6906ab9b0b907b5dcb462b08.jpg,https://zangakbookstore.am/mekhq,,16.0,Unknown
23,Մի անգամ Երևանում,Արմեն Վարդանյան,https://zangakbookstore.am/media/products/300x0/7186804e63c79fce1bd7f5382dccd1db.jpg,https://zangakbookstore.am/mi-angam-erevanum,"Իրադարձությունները ծավալվում են 1993 թվականի ձմռանը: Արտակը և Գնելը եղբայրներ են, որոնք ներկայացնում են 90-ական- ների երիտասարդության երկու հակառակ բևեռները։ Արտակը սո- վորում է ԵՊՀ բանասիրական ֆակուլտետում, ՈՒՀԱ-ի թիմի ավագ է, աղջիկների սիրելին: Գնելը տաղանդավոր ըմբշամարտիկ է և թաղային հեղինակություն: Բուհ, փողոց, սիրային եռանկյունիներ: Եվ այդ ամենը՝ 90-ականների անմարդկային պայմաններում, ինչը երիտասարդներն անտեսում էին՝ փորձելով ապրել... Ապրել իրենց բաժին հասած երիտասարդ տարիները։",16.0,"Երիտասարդական, Կենսագրություն"
24,Տասներկու աթոռ,"Իլյա Իլֆ, Եվգենի Պետրով",https://zangakbookstore.am/media/products/300x0/34349ced24537afc8f8dfee79fe926fd.jpg,https://zangakbookstore.am/tasnerku-ator,"«Տասներկու աթոռը» (1927 թ.) վեպը գրվել է գրեթե մեկ դար առաջ, բայց կարծես թե բոլորովին վերջերս է գրված: Նրա հետ երկխոսում են նույնիսկ նրանք, ովքեր ոչ մի էջ չեն կարդացել վեպից բոլորը, ու ոչ մի ֆիլմն են դիտել: Օստապ Բենդերը դարձել է հայտնի անուն, և նույնիսկ նրա հուշարձաններն են կանգնեցվում: Պատմությունն այն մասին է, թե ինչպես են Բենդերը իր «գործընկեր» Կիսա Վորոբյանինովի հետ փորձում գտնել կահույքի հավաքածուի 12 աթոռներից մեկում թաքնված մադամ Պետուխովայի ադամանդները։

Վեպը վերահրատարակվել է ավելի քան 200 անգամ, այն թարգմանվել է բազմաթիվ լեզուներով, թեև և բավականին դժվար է փոխանցել այն հումորը, որով գերհագեցած է ամեն իմաստով զարմանալի այս գիրքը։ Ներսես Աթաբեկյանին հաջողվել է լավագույնս ներկայացնել վեպի լեզուն և պահպանել բնագրային ճշգրտությունը:",16.0,"Կատակերգություն, Դրամա"
25,Թզենին,Գորան Վոյնովիչ,https://zangakbookstore.am/media/products/300x0/37c6fabfd6cbd8b7c3373bdde7a1da36.jpg,https://zangakbookstore.am/tzenin,"«Թզենի»-ն ընտանեկան սագա է, շրջագայություն, որը պատմում է երեք սերունդների մասին՝ սկսած 20-րդ դարի կեսերից, ընդգրկելով 90-ականների Բալկանյան պատերազմները և մեր օրերը: Ու թեև վեպի հերոսների կատարած ճակատագրական ընտրությունները հաճախ թելադրված են իրենց ապրած ժամանակների պատմական իրողություններով, դրա հիմքում միևնույն է ընտանիքի, հարաբերությունների, սիրո, ազատության և մեր «ես»- ը ներկայում իմաստավորելու անձնական պատմություններն են, որոնք Գորան Վոյնովիչը այքան վարպետորեն է միահյուսում:",16.0,"Պատմական գեղարվեստական գրականություն, Կենսագրություն"
26,Կետի շատրվանը,,https://zangakbookstore.am/media/products/300x0/7a06edc6fca5ac648e2da98160544c5b.jpg,https://zangakbookstore.am/keti-shatrvany,"Գյումրեցի արձակագիր Ավետիք Դարբինյանի «Կետի շատրվանը» վեպն, ասես վերադասավորում է, յուրովի հիշատակում հռչակավոր բիբլիականներից մեկը՝ Հովնան Մարգարեի և կետ-հրեշաձկան պատմությունը: Փետրե թեթևությամբ, Իտալո Կալվինոյի գրչոգով ստեղծված այս կարճ վեպում` սիրո և ամուսնության ճգնաժամը վերածվում է կեցության ճգնաժամի: Իսկ պատումի կարգականոնը՝ ռոբինզոնադա ժանրն է:
«Կետի շատրվանը» առաջին անգամ հրապարակվել է 1991 թվականին Ավետիք Դարբինյանի՝ «Օր ջոջություն՝ խայտառակություն» հետմահու գրքում՝«Ստամոքսի արքան և նրա կինը» վերնագրով, «Նաիրի» հրատարակչություն:",16.0,"Դրամա, Ռոմանս"
27,Անծանոթ ինքնակենսագրություն,Ռուբեն Ֆիլյան,https://zangakbookstore.am/media/products/300x0/eb4681e7dd1fe85ffff0be7871422ef5.jpg,https://zangakbookstore.am/antsanot-inqnakensagrutyun-1,"«Անծանոթ ինքնակենսագրությունում» կարծես մեզ հնածանոթ անսովորի մեջ ենք, որին հեքիաթ էինք կոչում – ուր հեքիաթ չեն պատմում նրա համար, որ հեքիաթ է, պատմում են, որ վստահ լինենք՝ հեքիաթ է. որպեսզի երբևէ չմոռանանք, որ դա այնքան էլ այդպես չէ: Մանկությանը հրաժեշտ տալուց հետո՝ հեքիաթների վերընթերցումը հեռավորությունից սարսափելի մոտիկ մի վայրում մանկության պարահանդեսին շտապող թրմուկն է. հրաշագործության սրվակը – ցավոտ ու աննման այն հիշեցումը, որ հեքիաթից ենք եկել և վերադառնալ չենք կարող: Ուստի մեզ այլ բան չի մնում քան հեքիաթանալը»:
Արամ Պաչյան",16.0,"Սարսափ, Ֆանտաստիկա"
28,Սիրո ուսմունքը,Փարոս Մասիս,https://zangakbookstore.am/media/products/300x0/e5c439933bae901b50bbc9d555aa10f2.jpg,https://zangakbookstore.am/siro-usmunqy,"Հեղինակն այս գիրքը վերնագրել է «Սիրո ուսմունք», այդպես բնորոշելով պոեզիայի նշանակությունը: Գրքում զետեղված բանաստեղծություններն ընթերցողին խոստանում ենսիրո և հավատարմության վառ օրինակներ, աշխարհի մոլորություններից խուսափելու բարոյախրատական պատգամներ, հուզիչ և հոգեսուն տողեր, աստվածային արժեքները վերականգնելու իմաստուն խորհուրդներ:",16.0,"Պոեզիա, Ռոմանս"
29,Հազարամյակների և օրերի միջով,Արմեն Դավթյան,https://zangakbookstore.am/media/products/300x0/ffebf07a8d045f695d965a1304415d39.jpg,https://zangakbookstore.am/hazaramyakneri-ev-oreri-mijov,"Արմեն Դավթյանը ժամանակակից հայ բանաստեղծության ամենատպավորիչ դեմքերից է։ Առաջին քայլերն անելով 1980-ականների սկզբին՝ դարձել է համարձակ ու ինքնատիպ հեղինակ և գրական միջավայրում ճաշակ է թելադրել՝ ընդարձակելով լեզվի ու բանաստեղծական երևակայության սահմանները։ Գրքում ի մի են բերված նրա երկու ժողովածուները՝ «Նորավանք» և «Տեսիլներ մենախցում», որոնք 1980-1990-ականներին դարձել են խորհրդայինից անկախություն անցման շրջանի հայ պոեզիայի չսպառվող լիցքը՝ ոգեշնչելով ոչ միայն ընթերցողներին, այլև նրա սերնդակից շատ հեղինակների։ Գիրքը տպագրության է պատրաստվել հեղինակի 60-ամյակի առիթով։",16.0,"Պոեզիա, Ժամանակակից"
30,Մեծ գիշերը․ նովելներ,Մհեր Շահնազարյան,https://zangakbookstore.am/media/products/300x0/12d860d16323bffb4f34877eaf300253.jpg,https://zangakbookstore.am/mets-gishery-novelner,"Քո առաջ բացվում է մի աշխարհ, որտեղ երևակայությունը դառնում է իրականություն, միստիցիզմը բացահայտում է թաքնված ճշմարտություններ, իսկ սարսափը դուրս է սողում իր մթին ստվերներից` ստիպելով քեզ սարսռալ։ Քեզ սպասում է արտասովոր ուղևորություն դեպի «Մեծ գիշեր», ուր կտեսնես խելակորույս տեսարաններ:",16.0,"Սարսափ, Դրամա"
